game_year,pitch_type,pitches,whiffs,swings,called_strikes,csw,bip,in_zone,sum_dre,n_dre,sum_xwoba,n_xwoba,whiff_pct,csw_pct,zone_pct,rv100,xwobacon,usage_share
2022,ST,31783,4723,14780,5237,9960,4959,14118,-104.09199999999998,31782,2089.157173523417,8117,31.955345060893098,31.337507472548218,44.41997294150961,0.3275187212887798,0.257380457499497,4.500247787610619
2022,SV,3289,398,1487,655,1053,541,1600,-9.608999999999998,3289,229.74577636295174,819,26.76529926025555,32.015810276679844,48.6470051687443,0.29215567041653995,0.28051987345903756,0.46569911504424777
2023,CH,77970,11589,39269,7573,19162,14947,30371,111.23499999999994,77970,6139.200416334733,20971,29.511828668924597,24.57611902013595,38.952161087597794,-0.14266384506861607,0.29274714683776326,10.89442731249834
2023,CS,71,4,28,3,7,15,21,2.118,71,8.260440832535885,22,14.285714285714286,9.859154929577464,29.577464788732396,-2.9830985915492954,0.37547458329708566,0.009920537888769811
2023,CU,46954,5811,19568,8491,14302,6959,20267,15.250999999999959,46954,3040.1356616222124,10902,29.696443172526575,30.4595987562295,43.163521744686285,-0.032480725816756734,0.2788603615503772,6.560689239849264
2023,FC,56942,6227,28179,9219,15446,10467,29218,-71.78800000000004,56942,4754.347734342923,14132,22.098016253238228,27.125847353447366,51.3118611920902,0.12607214358470029,0.3364242665116702,7.9562713867933885
2023,FF,230194,21255,110765,40166,61421,37025,125139,382.78799999999984,230189,19813.04293781493,56276,19.189274590348937,26.682276688358517,54.36240736074789,-0.16629291582134673,0.3520691402696519,32.16406054602081
2023,FO,778,195,358,48,243,74,188,-5.976000000000001,778,40.24112855993432,216,54.46927374301676,31.23393316195373,24.164524421593832,0.7681233933161955,0.18630152111080703,0.10870673911919596
2023,FS,16018,2761,8336,1201,3962,2789,5823,-69.94000000000001,16018,1161.5509710746649,4518,33.12140115163148,24.73467349232114,36.35285304032963,0.43663378698963673,0.25709406176951416,2.2381292380607722
2023,KC,14207,1951,6251,2415,4366,2193,6100,40.31499999999998,14207,985.8372424753045,3504,31.211006239001758,30.731329626240587,42.93658055887943,-0.2837685647920038,0.28134624499865996,1.9850856589542636
2023,SI,111256,6359,50563,24281,30640,23044,61608,-208.6330000000001,111256,10760.206771838928,30569,12.576389850285782,27.54008772560581,55.37499101172072,0.18752516718199477,0.35199734279299055,15.545343145816537
2023,SL,111948,17627,54418,16222,33849,18342,50222,-181.2570000000001,111947,8178.799168672494,28383,32.391855636002795,30.236359738449995,44.86190016793511,0.16191322679482262,0.2881583753892292,15.642033458760604
2023,ST,46274,6597,21176,7398,13995,7284,20209,-82.76800000000004,46274,3102.2407138401386,11733,31.15319229316207,30.243765397415395,43.67247266283442,0.1788650213943036,0.2644030268337287,6.465675637534285
2023,SV,3075,330,1298,614,944,501,1377,-7.430000000000002,3075,227.48741649686602,748,25.423728813559322,30.69918699186992,44.78048780487805,0.24162601626016267,0.3041275621615856,0.42965709870376295
2024,CH,72468,10694,36566,6885,17579,14094,28177,160.517,72468,5701.019457922453,19516,29.245747415632007,24.25760335596401,38.881989291825356,-0.2215005243693768,0.2921202837631919,10.253652973528235
2024,CS,61,3,24,10,13,16,22,-0.057,61,4.749918032786885,19,12.5,21.311475409836067,36.0655737704918,0.09344262295081968,0.24999568593615185,0.008631021021488413
