game_year,family,pitches,whiffs,swings,called_strikes,csw,bip,in_zone,sum_dre,n_dre,sum_xwoba,n_xwoba,whiff_pct,csw_pct,zone_pct,rv100,xwobacon,usage_share,whiff_pct_rel,league_whiff_pct,csw_pct_rel,league_csw_pct,rv100_rel,league_rv100,xwobacon_rel,league_xwobacon
2023,SI,79487,4573,36041,17376,21949,16442,44006,-163.39600000000007,79487,7662.674135060591,21804,12.688327182930552,27.613320417175135,55.36251210889831,0.20556317385232814,0.35143433017155523,15.236238659605096,-11.051500364978414,23.739827547908966,-0.1702397719768065,27.78356018915194,0.1751421591540003,0.03042101469832783,0.031027593436311507,0.3204067367352437
2023,SLV,118546,18113,56623,17857,35970,19297,53011,-254.2010000000001,118545,8501.472284008916,30141,31.98876781519877,30.34265179761443,44.71766234204444,0.21443418111265772,0.2820567427759171,22.72315156115523,8.248940267289804,23.739827547908966,2.559091608462488,27.78356018915194,0.18401316641432988,0.03042101469832783,-0.038349993959326645,0.3204067367352437
2024,CH,53828,7804,27076,5177,12981,10546,20949,127.38399999999999,53828,4239.5861059117615,14453,28.822573496823754,24.11570186520027,38.91840677714201,-0.23665007059522922,0.29333606212632407,10.281819814106655,5.825986956061627,22.996586540762127,-3.3429152808440534,27.458617146044322,-0.2187439876117671,-0.01790608298346211,-0.023899464423346728,0.3172355265496708
2024,CU,40982,5223,17384,7442,12665,6092,17666,81.416,40982,2647.8685211835614,9527,30.044868844914863,30.903811429408034,43.10672978380752,-0.19866282758284123,0.277933087140082,7.828073486321596,7.048282304152735,22.996586540762127,3.445194283363712,27.458617146044322,-0.18075674459937913,-0.01790608298346211,-0.039302439409588774,0.3172355265496708
2024,FC,43626,4567,21503,7020,11587,7993,22422,-10.92800000000001,43626,3591.850762005863,10581,21.238896898107242,26.55984963095402,51.395956539678174,0.02504928253793611,0.3394623156606997,8.333110485439118,-1.757689642654885,22.996586540762127,-0.8987675150903023,27.458617146044322,0.042955365521398226,-0.01790608298346211,0.022226789111028877,0.3172355265496708
2024,FF,165956,15220,81327,28562,43782,27238,92123,-2.4140000000000654,165956,14061.319624095713,41291,18.714572036347093,26.381691532695413,55.51049675817686,0.0014546024247391268,0.34054199762891946,31.699667256258525,-4.282014504415034,22.996586540762127,-1.0769256133489087,27.458617146044322,0.01936068540820124,-0.01790608298346211,0.02330647107924866,0.3172355265496708
2024,FS,16410,2787,8581,1217,4004,2875,6043,-7.186000000000004,16410,1188.5738729780505,4531,32.47873208250787,24.399756246191348,36.82510664229129,0.04379037172455823,0.26232043102583325,3.134514809197633,9.48214554174574,22.996586540762127,-3.0588608998529736,27.458617146044322,0.061696454708020335,-0.01790608298346211,-0.054915095523837554,0.3172355265496708
2024,SI,83316,4449,38127,18379,22828,17695,47170,77.69399999999999,83316,8291.863056223163,23165,11.668896057911716,27.399299054203276,56.61577608142493,-0.09325219645686302,0.3579478979591264,15.914395846624618,-11.32769048285041,22.996586540762127,-0.05931809184104608,27.458617146044322,-0.07534611347340091,-0.01790608298346211,0.040712371409455606,0.3172355265496708
2024,SLV,119408,17619,56774,18287,35906,19525,53481,-172.22300000000004,119408,8383.17642044328,30120,31.033571705358085,30.0700120594935,44.78845638483184,0.14423070481039799,0.27832591037328286,22.808418302051855,8.036985164595958,22.996586540762127,2.6113949134491783,27.458617146044322,0.1621367877938601,-0.01790608298346211,-0.03890961617638794,0.3172355265496708
2025,CH,53462,7833,26882,4708,12541,10287,20856,122.039,53462,4136.661602674075,14356,29.138456960047616,23.45778309827541,39.01088623695335,-0.2282724177920766,0.288148620972003,10.148559019275087,6.2342968653320625,22.904160094715554,-3.770507277089532,27.228290375364942,-0.2420649844836108,0.01379256669153419,-0.028050748256061298,0.3161993692280643
