game_year,family,cell_id,pitches,n_pitchers,usage_share,balanced,whiff_pct,csw_pct,rv100,xwobacon,rv100_rel,csw_pct_rel
2021,FC,FC|42|2|-1,1106,77,0.00156,False,18.94353,26.94394,0.4877,0.34048,0.48525,-0.87813
2021,FC,FC|42|2|-2,501,50,0.00071,False,25.46816,26.1477,2.04212,0.28052,2.03966,-1.67437
2021,FC,FC|43|0|-1,788,89,0.00111,True,24.8731,25.88832,0.51574,0.25801,0.51328,-1.93375
2021,FC,FC|43|0|-2,983,95,0.00139,True,29.60784,27.56867,0.17304,0.27661,0.17058,-0.2534
2021,FC,FC|43|1|-1,2346,150,0.00331,True,18.63149,25.36232,-0.36027,0.32951,-0.36273,-2.45975
2021,FC,FC|43|1|-2,2020,133,0.00285,True,23.92157,27.37624,0.96416,0.30936,0.9617,-0.44583
2021,FC,FC|43|2|-1,1921,131,0.00271,True,18.5654,24.98699,-0.76471,0.36424,-0.76716,-2.83509
2021,FC,FC|43|2|-2,755,88,0.00107,True,24.65753,26.09272,0.32026,0.30528,0.31781,-1.72936
2021,FC,FC|43|2|0,722,91,0.00102,False,15.18625,22.43767,-0.60166,0.38818,-0.60412,-5.3844
2021,FC,FC|44|0|-1,569,77,0.0008,True,25.58923,26.88928,-0.24569,0.31178,-0.24815,-0.93279
2021,FC,FC|44|0|-2,741,81,0.00105,True,29.11051,26.72065,0.56127,0.29178,0.55881,-1.10142
2021,FC,FC|44|1|-1,2412,150,0.0034,True,24.31118,27.03151,0.84042,0.30996,0.83796,-0.79056
2021,FC,FC|44|1|-2,1950,118,0.00275,True,25.78125,27.17949,0.19046,0.30406,0.188,-0.64258
2021,FC,FC|44|2|-1,2092,147,0.00295,True,19.03382,25.62141,1.14747,0.31521,1.14501,-2.20066
2021,FC,FC|44|2|-2,846,103,0.00119,True,21.54195,26.12293,0.13924,0.33534,0.13679,-1.69914
2021,FC,FC|44|2|0,882,106,0.00125,True,17.46032,24.03628,-2.17687,0.41698,-2.17933,-3.78579
2021,FC,FC|45|1|-1,1451,92,0.00205,True,27.27273,27.22261,0.09076,0.31927,0.08831,-0.59947
2021,FC,FC|45|1|-2,996,68,0.00141,True,22.68245,22.59036,1.23604,0.273,1.23359,-5.23171
