family,feature,game_year,n_pitchers,median,sd,sd_lo,sd_hi,iqr,iqr_lo,iqr_hi,robust_cv,robust_cv_lo,robust_cv_hi,mad,mad_lo,mad_hi
CU,release_speed,2023,150,79.75,3.4885659348619438,3.098100283904063,3.8490850528564606,4.8374999999999915,3.799999999999997,5.862499999999997,0.04554695924764895,0.035298895494367814,0.05487666248431623,3.632370000000004,2.8169399999999976,4.373670000000004
CU,release_speed,2024,143,80.2,3.3441083522701,2.939142302543129,3.696232686686147,4.349999999999994,3.174999999999997,5.199999999999989,0.04066982543640903,0.029651999999999894,0.04824480600750927,3.261720000000004,2.3721599999999916,3.8547600000000126
CU,release_speed,2025,153,80.25,3.4175511075557328,3.009091350960079,3.771599687587302,4.099999999999994,3.3999999999999915,5.0,0.039720747663551506,0.031231970260223098,0.04598778050490883,3.187590000000008,2.520419999999983,3.7064999999999997
CU,release_speed,2026,156,80.9,3.516247941547221,3.1309216937367097,3.8644562245410135,4.8500000000000085,3.824687500000003,5.650000000000006,0.041234239802224966,0.03405614033977532,0.05173015204978203,3.3358499999999998,2.7798749999999997,4.151280000000006
CU,ivb,2021,181,-10.56,4.72750798124204,4.224059606456441,5.183274186956283,6.48,4.920000000000002,7.44,0.42119318181818155,0.32431874999999993,0.5344255813953486,4.447799999999997,3.5582400000000005,5.337359999999999
CU,ivb,2022,162,-10.65,4.816871043827522,4.220570334519208,5.3445896134918005,5.759999999999998,4.860000000000001,6.629999999999999,0.40092845070422517,0.3275511627906975,0.4971083643888693,4.269887999999998,3.3803280000000013,5.070491999999997
CU,ivb,2023,150,-10.379999999999999,4.757732086196831,4.237866321651745,5.249190536131302,5.760000000000002,4.859999999999999,7.320000000000001,0.4199271676300577,0.3513515038224873,0.5433130434782609,4.358843999999999,3.5582400000000005,5.249515949999995
CU,ivb,2024,143,-10.32,4.271778911120973,3.8954777907008475,4.618406329001509,6.539999999999999,5.340000000000001,8.219999999999999,0.46546744186046485,0.37888666666666665,0.6327019108280254,4.8036239999999975,3.9140640000000007,5.960051999999999
CU,ivb,2025,153,-10.8,4.278712987537417,3.8151823629483936,4.696944212941917,6.24,4.8000000000000025,7.200000000000001,0.4283066666666667,0.3261720000000001,0.499946511627907,4.625712000000001,3.647196000000001,5.337360000000002
CU,ivb,2026,156,-10.44,4.105209883621738,3.66812909047438,4.500982408218748,5.925,5.1899999999999995,6.870374999999999,0.4430758620689654,0.3558085562499999,0.5161172462882573,4.625711999999998,3.691673999999999,5.159448
CU,hb_arm,2021,181,-8.52,4.23827396328332,3.8084876012425184,4.627425086619993,5.400000000000001,4.5600000000000005,6.48,0.48027887323943663,0.3901578947368421,0.583489331378299,4.091976,3.3803280000000013,4.803624000000001
CU,hb_arm,2022,162,-8.28,4.214755194866839,3.759381164015995,4.6506905339589375,4.919999999999999,4.244250000000001,6.089999999999998,0.472713043478261,0.3474618110795456,0.5974656716417907,3.9140640000000007,2.8465920000000002,4.714668
CU,hb_arm,2023,150,-8.76,4.481846497465709,4.018368152375456,4.930098980366617,5.684999999999999,4.530000000000001,7.499999999999999,0.4620431506849314,0.3681352206564666,0.6212512728996357,4.047497999999999,3.3803279999999987,5.248404000000001
CU,hb_arm,2024,143,-8.76,4.39404040227562,3.9440340367977167,4.808373629754998,6.239999999999999,5.009999999999999,7.4399999999999995,0.4772753424657535,0.40619178082191787,0.6790534351145038,4.180932,3.7361519999999993,5.515272
CU,hb_arm,2025,153,-8.399999999999999,4.100147546993979,3.696190411804872,4.4842064236299715,6.36,4.799999999999999,7.08,0.5506799999999998,0.4176338028169013,0.6355580597014914,4.625711999999997,3.558239999999999,5.337359999999999
CU,hb_arm,2026,156,-8.52,4.1605485656636265,3.7494633647578794,4.513302880065641,6.014999999999999,4.8146249999999995,7.1553749999999985,0.5742464788732393,0.39672610345346093,0.6324412181818182,4.892579999999999,3.558239999999998,5.337359999999999
CU,release_spin_rate,2021,181,2492.0,284.8135964624857,255.13664455870233,312.5136698262265,362.0,312.0,432.5,0.11184943820224719,0.09133418157833054,0.12861079676804812,278.7288,228.32039999999998,320.2601324999999
CU,release_spin_rate,2022,162,2523.0,257.2529780408999,227.00400207619487,285.7339954245987,336.625,260.99375,418.02499999999986,0.10166064209274674,0.07698181290709231,0.12326370274613453,256.4898,194.9433675,309.1313662499999
CU,release_spin_rate,2023,150,2497.25,273.72370009425305,240.40721777263477,303.7963859060467,359.375,285.75,427.19687499999964,0.1022636299929923,0.0836635046928353,0.12947954529653583,255.37785,209.04659999999998,323.2068
CU,release_spin_rate,2024,143,2542.0,285.58505600699397,249.92312082728378,317.5256014084841,348.75,276.75,409.5,0.09681809598741148,0.08124237388724034,0.12340309155766944,246.11159999999998,207.564,312.8286
CU,release_spin_rate,2025,153,2572.0,277.8330751418176,245.8976932161397,308.9905849343983,351.5,275.475,426.5,0.10375894245723172,0.07930823720275294,0.12274273128272864,266.868,202.3749,318.0177
CU,release_spin_rate,2026,156,2603.75,249.26077782074236,216.9345469764961,280.1135829940596,322.375,248.99375,381.12812499999995,0.08925493999039846,0.07029027146544903,0.1076327437791899,232.39755,184.5837,280.21139999999997
CU,release_extension,2021,181,6.3,0.40177991801094476,0.36088359146212245,0.44136907518111623,0.5999999999999996,0.5,0.7000000000000002,0.07059999999999995,0.04782580645161294,0.07173870967741931,0.44477999999999973,0.29652000000000023,0.44477999999999973
